date,market,riskfree,return,vol
2015-06-17,-0.00048347,0.001,-0.00040308,0.060368044
2015-06-18,0.010342048,0.0008,0.006371225,-0.390660731
2015-06-19,-0.002804122,0.0005,-0.010938815,-0.341607619
2015-06-22,0.011453785,0.0008,0.013476426,1.500863038
2015-06-23,0.000421922,0.0009,-0.010548864,-0.441372509
2015-06-24,-0.004985616,0.0008,-0.01638005,0.423699709
2015-06-25,-0.002414472,0.0007,0.002865449,-0.387190142
2015-06-26,-0.003383889,0.0008,0.005176198,-0.230522817
2015-06-29,-0.021575121,0.0011,0.024943766,1.048374887
2015-06-30,0.000855891,0.0011,0.03385978,0.424716179
2015-07-01,0.005651826,0.0013,-0.016640764,-0.518693927
2015-07-02,-0.000371063,0.001,-0.019196669,-0.208908238
2015-07-06,-0.009835227,0.0009,0.011782087,0.252040059
2015-07-07,-0.003835406,0.0008,-0.029532014,-0.545498415
2015-07-08,-0.012446274,0.0008,0.00485236,0.374565009
2015-07-09,0.007065395,0.0008,0.011866437,-0.306942311
2015-07-10,0.014410884,0.0009,0.059376272,2.509587916
2015-07-13,0.009065774,0.001,-0.047387054,0.241574621
2015-07-14,0.005294885,0.001,-0.010910331,-0.684926478
2015-07-15,-0.001305232,0.0011,0.002861082,-0.307488115
2015-07-16,0.007218912,0.001,-0.034303784,2.537308806
2015-07-17,-0.000961729,0.0011,-0.005018687,-0.513316087
2015-07-20,-0.000374366,0.0014,0.011672303,0.750554904
2015-07-21,-0.001719671,0.0013,0.00413342,-0.114173674
2015-07-22,-0.005956482,0.0013,-0.010487883,0.104835008
2015-07-23,-0.003019193,0.0013,-0.001772537,-0.427215065
2015-07-24,-0.01009703,0.0013,0.048668237,2.404742569
2015-07-27,-0.008475304,0.0015,0.01602597,1.505124985
2015-07-28,0.006611518,0.0014,-0.007365306,-0.265606867
2015-07-29,0.007998999,0.0014,-0.013111977,-0.105299317
2015-07-30,-0.001272166,0.0015,-0.013389179,-0.179523225
2015-07-31,0.004225243,0.0014,-0.009360429,0.229614657
2015-08-03,-0.003356691,0.0017,0.006553312,0.335841673
2015-08-04,-0.000752755,0.0018,0.006229104,-0.172432277
2015-08-05,0.001584306,0.0019,-0.009688025,-0.372057599
2015-08-06,-0.005737902,0.0019,-0.013950203,0.347507138
2015-08-07,-0.002963494,0.0022,0.0002149,0.161472709
2015-08-10,0.010270088,0.0024,-0.002185628,-0.577984469
2015-08-11,-0.009352741,0.0023,0.01824087,-0.040198996
2015-08-12,-0.005322308,0.0022,0.000778874,0.69063345
2015-08-13,-3.14E-05,0.0023,-0.017566616,-0.273699996
2015-08-14,0.001634359,0.0024,0.008864914,-0.015447469
2015-08-17,0.001686605,0.0024,-0.01045977,-0.619994121
2015-08-18,-0.003383194,0.0025,-0.020598598,2.061532366
2015-08-19,-0.010254758,0.0022,-0.112749555,2.634168615
2015-08-20,-0.016180639,0.0021,0.052042953,-0.770436177
2015-08-21,-0.025630473,0.002,-0.016348312,-0.53127943
2015-08-24,-0.038430002,0.002,-0.076017225,2.900407262
2015-08-25,-0.001378134,0.0019,0.056686323,0.500892635
2015-08-26,0.018000845,0.002,0.019711971,-0.660519656
2015-08-27,0.021215664,0.0021,0.003927972,-0.525008403
2015-08-28,0.005741309,0.0024,0.02817954,1.299223768
2015-08-31,-0.006459224,0.0027,0.013125549,0.090672458
2015-09-01,-0.025996563,0.0026,-0.014472031,-0.161786927
2015-09-02,0.007322604,0.0025,0.009364696,0.000647652
2015-09-03,0.004552879,0.0024,-0.011020124,-0.292823803
2015-09-04,-0.016107156,0.0023,0.018762387,0.706763124
2015-09-08,0.016845998,0.0027,0.011686697,1.390616722
2015-09-09,0.003081041,0.0026,-0.021587744,-0.156512037
2015-09-10,-0.00198058,0.0025,0.00293071,-0.204195893
2015-09-11,0.001219297,0.0024,0.005635567,-0.324826978
2015-09-14,-0.003275494,0.0026,0.010737263,-0.188433122
2015-09-15,0.007549968,0.0027,-0.009849039,-0.255402256
2015-09-16,0.012385843,0.0024,-0.006254887,0.184657517
2015-09-17,0.000644346,0.0016,0.021986188,0.311869316
2015-09-18,-0.011186236,0.001,0.002181258,-0.242281478
2015-09-21,-0.002821934,0.0011,-0.016714772,1.412831671
2015-09-22,-0.01599156,0.001,0.009200438,1.327657306
2015-09-23,-0.004262814,0.0009,0.00078142,-0.67729362
2015-09-24,-0.005896075,0.0009,0.015052271,1.072434879
2015-09-25,0.003825094,0.0007,0.006709402,-0.031219109
2015-09-28,-0.019917453,0.001,0.027663583,3.432287572
2015-09-29,-0.006814846,0.0009,-0.008667389,-0.162462615
2015-09-30,0.019564376,0.0008,-0.003446826,-0.426116867
2015-10-01,0.00419327,0.0008,0.00577864,0.094925707
2015-10-02,0.011358754,0.0006,-0.003061438,-0.15417095
2015-10-05,0.019089612,0.0006,0.007346802,3.957655561
2015-10-06,0.002584302,0.0007,0.021879662,0.547223616
2015-10-07,0.009520642,0.0008,-0.009164639,-0.530493019
2015-10-08,0.00513961,0.0007,-0.003355979,-0.145653806
2015-10-09,0.006735828,0.0007,0.005379435,-0.400852966
2015-10-13,-0.008757237,0.0008,0.015752507,2.161590477
2015-10-14,-0.0049628,0.0008,0.016267637,-0.365833647
2015-10-15,0.014575192,0.0008,0.000943916,-0.002521143
2015-10-16,0.00364833,0.0007,0.028251473,1.002520955
2015-10-19,-0.001651568,0.0012,-0.001172023,-0.426259189
2015-10-20,-0.001313709,0.0012,0.021953897,0.287402149
2015-10-21,-0.003361672,0.0012,-0.00581503,-0.232121892
2015-10-22,0.007870359,0.0011,0.024700097,1.552341496
2015-10-23,0.010104685,0.0013,0.010034539,-0.422294115
2015-10-26,-0.001016366,0.0016,-0.00333565,-0.516600633
2015-10-27,-0.005575672,0.0018,0.039813136,0.248380607
2015-10-28,0.009675184,0.0021,0.01505398,0.468544675
2015-10-29,-0.005760654,0.0021,0.042246078,0.354242513
2015-10-30,9.63E-05,0.0022,0.029378209,0.287018896
2015-11-02,0.005480529,0.0027,0.116286149,1.556287485
